         144 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.020    0.010 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/utils.py:629(should_bypass_proxies)
        2    0.000    0.000    0.020    0.010 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/urllib/request.py:2601(proxy_bypass)
        2    0.000    0.000    0.020    0.010 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/urllib/request.py:2587(proxy_bypass_macosx_sysconf)
        2    0.000    0.000    0.015    0.008 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/connection.py:127(_new_conn)
        2    0.000    0.000    0.015    0.008 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/util/connection.py:36(create_connection)
        2    0.000    0.000    0.014    0.007 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/urllib/request.py:2524(_proxy_bypass_macosx_sysconf)
        2    0.012    0.006    0.012    0.006 {built-in method _socket.gethostbyname}
        2    0.000    0.000    0.011    0.006 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/sessions.py:401(prepare_request)
        2    0.000    0.000    0.008    0.004 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/utils.py:160(get_netrc_auth)
        2    0.000    0.000    0.008    0.004 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py:728(getaddrinfo)
        2    0.007    0.004    0.007    0.004 {built-in method _socket.getaddrinfo}
        2    0.007    0.004    0.007    0.004 {method 'connect' of '_socket.socket' objects}
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:966(_find_and_load)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:651(_load_unlocked)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap_external>:672(exec_module)
        2    0.006    0.003    0.006    0.003 {built-in method _scproxy._get_proxy_settings}
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      2/1    0.000    0.000    0.004    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.004    0.004 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/netrc.py:1(<module>)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:743(get_code)
